station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BIS,2020-02-12 00:52,-100.7458,46.7727,506.00,33.00,21.90,63.06,220.00,8.00,0.00,29.65,1006.40,10.00,,BKN,,,,11000.00,,,,,,,,,,,25.47,KBIS 120052Z 22008KT 10SM BKN110 01/M06 A2965 RMK AO2 SLP064 T00061056,
N60,2020-02-12 00:52,-101.4394,47.6458,587.00,30.90,21.90,68.91,260.00,10.00,0.00,29.60,1005.20,,,,,,,,,,,,,,,,,,21.59,KN60 120052Z AUTO 26010KT M01/M06 A2960 RMK AO1 SLP052 T10061056,
FAR,2020-02-12 00:53,-96.8111,46.9253,274.00,26.10,19.90,77.06,180.00,16.00,0.00,29.74,1008.50,10.00,,CLR,,,,,,,,,,,,,,,12.73,KFAR 120053Z 18016KT 10SM CLR M03/M07 A2974 RMK AO2 SLP085 T10331067,
HEI,2020-02-12 00:53,-102.6560,46.0149,828.00,30.90,21.00,66.34,240.00,8.00,0.00,29.66,1008.50,10.00,,BKN,BKN,OVC,,5500.00,7500.00,8500.00,,,,,,,,,22.76,KHEI 120053Z AUTO 24008KT 10SM BKN055 BKN075 OVC085 M01/M06 A2966 RMK AO2 SLP085 T10061061,
GFK,2020-02-12 00:53,-97.1761,47.9492,257.00,25.00,19.90,80.66,180.00,10.00,0.00,29.67,1006.30,10.00,,BKN,,,,11000.00,,,,,,,,,,,14.19,KGFK 120053Z 18010KT 10SM BKN110 M04/M07 A2967 RMK AO2 SLP063 T10391067,
MOT,2020-02-12 00:54,-101.2803,48.2594,523.00,34.00,21.90,60.83,250.00,11.00,0.00,29.58,1004.10,10.00,,BKN,OVC,,,3400.00,5000.00,,,,,,,,,,24.99,KMOT 120054Z 25011KT 10SM BKN034 OVC050 01/M06 A2958 RMK AO2 SLP041 T00111056,
RUG,2020-02-12 00:55,-100.0243,48.3904,471.00,28.40,23.00,79.92,230.00,10.00,0.00,29.57,,10.00,,,,,,,,,,,,,,,,,18.45,KRUG 120055Z AUTO 23010KT 10SM M02/M05 A2957 RMK AO2,
HZE,2020-02-12 00:55,-101.5810,47.2899,552.00,33.80,23.00,64.23,260.00,11.00,0.00,29.64,,10.00,19.00,OVC,,,,2900.00,,,,,,,,,,,24.74,KHZE 120055Z AUTO 26011G19KT 10SM OVC029 01/M05 A2964 RMK AO2,
5H4,2020-02-12 00:55,-99.9317,47.7912,489.00,28.40,23.00,79.92,220.00,9.00,0.00,29.61,,10.00,,BKN,OVC,,,7500.00,10000.00,,,,,,,,,,19.04,K5H4 120055Z AUTO 22009KT 10SM BKN075 OVC100 M02/M05 A2961 RMK AO2,
D60,2020-02-12 00:55,-102.8974,48.3803,690.00,30.20,28.40,92.92,260.00,11.00,0.00,29.59,,8.00,,CLR,,,,,,,,,,,,,,,20.19,KD60 120055Z AUTO 26011KT 8SM CLR M01/M02 A2959 RMK AO2,
20U,2020-02-12 00:55,-103.9821,46.9252,840.00,30.20,28.40,92.92,250.00,11.00,0.00,29.63,,7.00,16.00,SCT,BKN,OVC,,1400.00,1800.00,7500.00,,-SN,,,,,,,20.19,K20U 120055Z AUTO 25011G16KT 7SM -SN SCT014 BKN018 OVC075 M01/M02 A2963 RMK AO2,
96D,2020-02-12 00:55,-97.9028,48.9406,287.00,30.20,21.20,68.83,200.00,10.00,0.00,29.58,,10.00,19.00,BKN,OVC,,,7500.00,9500.00,,,,,,,,,,20.71,K96D 120055Z AUTO 20010G19KT 10SM BKN075 OVC095 M01/M06 A2958 RMK AO2,
GAF,2020-02-12 00:55,-97.3709,48.4047,251.00,26.60,23.00,86.07,180.00,8.00,0.00,29.65,,10.00,,CLR,,,,,,,,,,,,,,,17.46,KGAF 120055Z AUTO 18008KT 10SM CLR M03/M05 A2965 RMK AO2,
46D,2020-02-12 00:55,-99.1513,47.4511,489.80,30.20,23.00,74.26,220.00,16.00,0.00,29.63,,10.00,,SCT,,,,12000.00,,,,,,,,,,,18.07,K46D 120055Z AUTO 22016KT 10SM SCT120 M01/M05 A2963 RMK AO2,
2D5,2020-02-12 00:55,-98.0799,46.1731,407.00,26.60,21.20,79.77,190.00,19.00,0.00,29.74,,10.00,,,,,,,,,,,,,,,,,12.30,K2D5 120055Z AUTO 19019KT 10SM M03/M06 A2974 RMK AO2,
S25,2020-02-12 00:55,-103.2552,47.7966,642.00,30.20,28.40,92.92,240.00,7.00,0.00,29.60,,8.00,,FEW,BKN,OVC,,1300.00,2100.00,2800.00,,,,,,,,,22.59,KS25 120055Z AUTO 24007KT 8SM FEW013 BKN021 OVC028 M01/M02 A2960 RMK AO2,
D50,2020-02-12 00:55,-103.2973,48.9285,594.00,28.40,28.40,100.00,260.00,10.00,0.00,29.58,,3.00,,BKN,OVC,,,500.00,2300.00,,,-SN,,,,,,,18.45,KD50 120055Z AUTO 26010KT 3SM -SN BKN005 OVC023 M02/M02 A2958 RMK AO2,
D55,2020-02-12 00:55,-98.3937,48.7531,490.00,24.80,23.00,92.74,200.00,13.00,0.00,29.57,,10.00,,FEW,,,,9000.00,,,,,,,,,,,12.34,KD55 120055Z AUTO 20013KT 10SM FEW090 M04/M05 A2957 RMK AO2,
06D,2020-02-12 00:55,-99.6208,48.8844,555.00,28.40,21.20,74.08,220.00,6.00,0.00,29.54,,10.00,,OVC,,,,7500.00,,,,,,,,,,,21.19,K06D 120055Z AUTO 22006KT 10SM OVC075 M02/M06 A2954 RMK AO2,
7L2,2020-02-12 00:55,-100.2456,46.2206,541.00,30.20,21.20,68.83,200.00,15.00,0.00,29.69,,10.00,,BKN,OVC,,,10000.00,12000.00,,,,,,,,,,18.45,K7L2 120055Z AUTO 20015KT 10SM BKN100 OVC120 M01/M06 A2969 RMK AO2,
Y19,2020-02-12 00:55,-100.8944,46.7680,592.00,30.20,23.00,74.26,230.00,9.00,0.00,29.64,,10.00,,BKN,BKN,,,9500.00,12000.00,,,,,,,,,,21.28,KY19 120055Z AUTO 23009KT 10SM BKN095 BKN120 M01/M05 A2964 RMK AO2,
2C8,2020-02-12 00:55,-97.6320,48.7837,272.00,28.40,21.20,74.08,220.00,13.00,0.00,29.60,,10.00,,BKN,OVC,,,7500.00,10000.00,,,,,,,,,,16.96,K2C8 120055Z AUTO 22013KT 10SM BKN075 OVC100 M02/M06 A2960 RMK AO2,
S32,2020-02-12 00:55,-98.1059,47.4228,434.00,28.40,26.60,92.86,200.00,14.00,0.00,29.64,,10.00,,BKN,,,,12000.00,,,,,,,,,,,16.52,KS32 120055Z AUTO 20014KT 10SM BKN120 M02/M03 A2964 RMK AO2,
BWP,2020-02-12 00:55,-96.6074,46.2441,294.70,26.60,19.40,73.89,170.00,11.00,0.00,29.81,,10.00,,,,,,,,,,,,,,,,,15.64,KBWP 120055Z AUTO 17011KT 10SM M03/M07 A2981 RMK AO1,
BAC,2020-02-12 00:55,-98.0180,46.9412,427.30,26.60,23.00,86.07,210.00,18.00,0.00,29.68,,10.00,24.00,CLR,,,,,,,,-SN,,,,,,,12.64,KBAC 120055Z AUTO 21018G24KT 10SM -SN CLR M03/M05 A2968 RMK AO2,
9D7,2020-02-12 00:55,-99.2364,48.4800,451.00,26.60,26.60,100.00,210.00,7.00,0.00,29.60,,10.00,,FEW,OVC,,,7000.00,10000.00,,,,,,,,,,18.20,K9D7 120055Z AUTO 21007KT 10SM FEW070 OVC100 M03/M03 A2960 RMK AO2,
08D,2020-02-12 00:55,-102.4064,48.3008,682.00,30.20,26.60,86.28,270.00,11.00,0.00,29.58,,10.00,17.00,FEW,BKN,OVC,,4000.00,7500.00,9500.00,,,,,,,,,20.19,K08D 120055Z AUTO 27011G17KT 10SM FEW040 BKN075 OVC095 M01/M03 A2958 RMK AO2,
GWR,2020-02-12 00:55,-97.6435,46.2187,385.00,26.60,23.00,86.07,210.00,15.00,0.00,29.75,,10.00,,SCT,,,,11000.00,,,,,,,,,,,13.78,KGWR 120055Z AUTO 21015KT 10SM SCT110 M03/M05 A2975 RMK A01,
JMS,2020-02-12 00:56,-98.6800,46.9300,457.00,30.00,21.90,71.48,210.00,13.00,0.00,29.65,1006.00,10.00,,CLR,,,,,,,,,,,,,,,19.01,KJMS 120056Z AUTO 21013KT 10SM CLR M01/M06 A2965 RMK AO2 SLP060 T10111056,
MIB,2020-02-12 00:56,-101.3580,48.4158,508.00,32.40,23.00,67.94,270.00,11.00,0.00,29.56,1003.90,10.00,,CLR,,,,,,,,,,,,,,,22.97,KMIB 120056Z AUTO 27011KT 10SM CLR 00/M05 A2956 RMK AO2 SLP039 T00021050 $,
DIK,2020-02-12 00:56,-102.8019,46.7973,789.00,32.00,18.00,55.82,260.00,12.00,0.00,29.60,1005.80,10.00,,OVC,,,,4400.00,,,,,,,,27.00,260.00,2020-02-11 23:57,22.00,KDIK 120056Z AUTO 26012KT 10SM OVC044 00/M08 A2960 RMK AO2 PK WND 26027/2357 SLP058 T00001078 $,
RDR,2020-02-12 00:56,-97.4012,47.9611,278.00,28.80,22.80,77.97,210.00,11.00,0.00,29.65,1006.10,10.00,,BKN,,,,12000.00,,,,,,,,,,,18.42,KRDR 120056Z 21011KT 10SM BKN120 M02/M05 A2965 RMK AO2A SLP061 T10181051,
DVL,2020-02-12 00:56,-98.9083,48.1146,443.00,28.00,23.00,81.25,210.00,10.00,0.00,29.60,1061.30,10.00,,BKN,,,,11000.00,,,,,,,,,,,17.95,KDVL 120056Z AUTO 21010KT 10SM BKN110 M02/M05 A2960 RMK AO2 SLP613 T10221050 FZRANO,
N60,2020-02-12 01:52,-101.4394,47.6458,587.00,30.00,26.10,85.21,270.00,12.00,0.00,29.60,1005.30,,,,,,,,,,,,,,,,,,19.46,KN60 120152Z AUTO 27012KT M01/M03 A2960 RMK AO1 SLP053 T10111033,
BIS,2020-02-12 01:52,-100.7458,46.7727,506.00,32.00,21.90,65.92,230.00,7.00,0.00,29.64,1006.20,10.00,,BKN,BKN,,,10000.00,12000.00,,,,,,,,,,24.78,KBIS 120152Z 23007KT 10SM BKN100 BKN120 00/M06 A2964 RMK AO2 SLP062 T00001056,
HEI,2020-02-12 01:53,-102.6560,46.0149,828.00,28.90,19.90,68.67,230.00,7.00,0.00,29.65,1008.20,10.00,,SCT,BKN,,,6000.00,9500.00,,,,,,,,,,21.00,KHEI 120153Z AUTO 23007KT 10SM SCT060 BKN095 M02/M07 A2965 RMK AO2 SLP082 T10171067,
FAR,2020-02-12 01:53,-96.8111,46.9253,274.00,27.00,19.90,74.25,180.00,16.00,0.00,29.71,1007.60,10.00,,CLR,,,,,,,,,,,,,,,13.90,KFAR 120153Z 18016KT 10SM CLR M03/M07 A2971 RMK AO2 SLP076 T10281067,
GFK,2020-02-12 01:53,-97.1761,47.9492,257.00,26.10,19.90,77.06,190.00,12.00,0.00,29.65,1005.50,10.00,,BKN,,,,12000.00,,,,,,,,,,,14.49,KGFK 120153Z 19012KT 10SM BKN120 M03/M07 A2965 RMK AO2 SLP055 T10331067,
MOT,2020-02-12 01:54,-101.2803,48.2594,523.00,33.00,24.10,69.17,240.00,8.00,,29.59,1004.30,10.00,,OVC,,,,2600.00,,,,,,,,,,,25.47,KMOT 120154Z 24008KT 10SM OVC026 01/M04 A2959 RMK AO2 SNB02E29 SLP043 P0000 T00061044,
Y19,2020-02-12 01:55,-100.8944,46.7680,592.00,28.40,24.80,86.18,230.00,8.00,0.00,29.64,,10.00,,FEW,OVC,,,5000.00,6000.00,,,,,,,,,,19.68,KY19 120155Z AUTO 23008KT 10SM FEW050 OVC060 M02/M04 A2964 RMK AO2,
D55,2020-02-12 01:55,-98.3937,48.7531,490.00,24.80,24.80,100.00,220.00,9.00,0.00,29.57,,10.00,,BKN,BKN,,,5000.00,6000.00,,,,,,,,,,14.56,KD55 120155Z AUTO 22009KT 10SM BKN050 BKN060 M04/M04 A2957 RMK AO2,
06D,2020-02-12 01:55,-99.6208,48.8844,555.00,28.40,19.40,68.61,270.00,9.00,0.00,29.55,,10.00,,FEW,BKN,OVC,,4200.00,5500.00,6500.00,,,,,,,,,19.04,K06D 120155Z AUTO 27009KT 10SM FEW042 BKN055 OVC065 M02/M07 A2955 RMK AO2,
D50,2020-02-12 01:55,-103.2973,48.9285,594.00,28.40,28.40,100.00,300.00,8.00,0.00,29.60,,2.00,,OVC,,,,300.00,,,,-SN,,,,,,,19.68,KD50 120155Z AUTO 30008KT 2SM -SN OVC003 M02/M02 A2960 RMK AO2,
S32,2020-02-12 01:55,-98.1059,47.4228,434.00,28.40,26.60,92.86,210.00,12.00,0.00,29.64,,10.00,,CLR,,,,,,,,,,,,,,,17.42,KS32 120155Z AUTO 21012KT 10SM CLR M02/M03 A2964 RMK AO2,
2D5,2020-02-12 01:55,-98.0799,46.1731,407.00,24.80,21.20,85.96,190.00,15.00,0.00,29.71,,10.00,,,,,,,,,,,,,,,,,11.45,K2D5 120155Z AUTO 19015KT 10SM M04/M06 A2971 RMK AO2,
5H4,2020-02-12 01:55,-99.9317,47.7912,489.00,30.20,23.00,74.26,250.00,13.00,0.00,29.61,,10.00,,SCT,BKN,OVC,,2800.00,3400.00,4900.00,,,,,,,,,19.26,K5H4 120155Z AUTO 25013KT 10SM SCT028 BKN034 OVC049 M01/M05 A2961 RMK AO2,
S25,2020-02-12 01:55,-103.2552,47.7966,642.00,30.20,30.20,100.00,230.00,3.00,0.00,29.60,,4.00,,SCT,BKN,OVC,,100.00,1400.00,2100.00,,-SN,,,,,,,26.63,KS25 120155Z AUTO 23003KT 4SM -SN SCT001 BKN014 OVC021 M01/M01 A2960 RMK AO2,
46D,2020-02-12 01:55,-99.1513,47.4511,489.80,32.00,23.00,69.04,230.00,17.00,0.00,29.62,,10.00,,CLR,,,,,,,,,,,,,,,20.08,K46D 120155Z AUTO 23017KT 10SM CLR M00/M05 A2962 RMK AO2,
20U,2020-02-12 01:55,-103.9821,46.9252,840.00,30.20,30.20,100.00,250.00,10.00,0.00,29.62,,2.50,,BKN,OVC,,,700.00,1200.00,,,-SN,,,,,,,20.71,K20U 120155Z AUTO 25010KT 2 1/2SM -SN BKN007 OVC012 M01/M01 A2962 RMK AO2,
HZE,2020-02-12 01:55,-101.5810,47.2899,552.00,32.00,30.20,92.97,270.00,10.00,0.00,29.64,,2.50,17.00,FEW,BKN,OVC,,400.00,2400.00,2900.00,,-SN,,,,,,,22.97,KHZE 120155Z AUTO 27010G17KT 2 1/2SM -SN FEW004 BKN024 OVC029 M00/M01 A2964 RMK AO2,
RUG,2020-02-12 01:55,-100.0243,48.3904,471.00,30.20,24.80,80.07,270.00,13.00,0.00,29.57,,10.00,,FEW,SCT,BKN,,3500.00,4400.00,5000.00,,,,,,,,,19.26,KRUG 120155Z AUTO 27013KT 10SM FEW035 SCT044 BKN050 M01/M04 A2957 RMK AO2,
08D,2020-02-12 01:55,-102.4064,48.3008,682.00,30.20,30.20,100.00,260.00,5.00,0.00,29.58,,10.00,,SCT,BKN,OVC,,3600.00,5500.00,6500.00,,-UP,,,,,,,24.26,K08D 120155Z AUTO 26005KT 10SM -UP SCT036 BKN055 OVC065 M01/M01 A2958 RMK AO2,
9D7,2020-02-12 01:55,-99.2364,48.4800,451.00,26.60,26.60,100.00,230.00,7.00,0.00,29.59,,10.00,,OVC,,,,7000.00,,,,,,,,,,,18.20,K9D7 120155Z AUTO 23007KT 10SM OVC070 M03/M03 A2959 RMK AO2,
7L2,2020-02-12 01:55,-100.2456,46.2206,541.00,28.40,21.20,74.08,210.00,12.00,0.00,29.68,,10.00,,OVC,,,,10000.00,,,,,,,,,,,17.42,K7L2 120155Z AUTO 21012KT 10SM OVC100 M02/M06 A2968 RMK AO2,
BWP,2020-02-12 01:55,-96.6074,46.2441,294.70,26.60,19.40,73.89,170.00,14.00,0.00,29.77,,10.00,,,,,,,,,,,,,,,,,14.20,KBWP 120155Z AUTO 17014KT 10SM M03/M07 A2977 RMK AO1,
BAC,2020-02-12 01:55,-98.0180,46.9412,427.30,26.60,24.80,92.80,200.00,17.00,0.00,29.67,,10.00,,BKN,BKN,,,10000.00,12000.00,,,-SN,,,,,,,13.00,KBAC 120155Z AUTO 20017KT 10SM -SN BKN100 BKN120 M03/M04 A2967 RMK AO2,
GWR,2020-02-12 01:55,-97.6435,46.2187,385.00,28.40,24.80,86.18,210.00,19.00,0.00,29.71,,10.00,27.00,OVC,,,,11000.00,,,,,,,,,,,14.68,KGWR 120155Z AUTO 21019G27KT 10SM OVC110 M02/M04 A2971 RMK A01,
GAF,2020-02-12 01:55,-97.3709,48.4047,251.00,28.40,23.00,79.92,180.00,13.00,0.00,29.63,,10.00,,CLR,,,,,,,,,,,,,,,16.96,KGAF 120155Z AUTO 18013KT 10SM CLR M02/M05 A2963 RMK AO2,
2C8,2020-02-12 01:55,-97.6320,48.7837,272.00,28.40,23.00,79.92,220.00,6.00,0.00,29.59,,10.00,,SCT,OVC,,,5500.00,7000.00,,,,,,,,,,21.19,K2C8 120155Z AUTO 22006KT 10SM SCT055 OVC070 M02/M05 A2959 RMK AO2,
96D,2020-02-12 01:55,-97.9028,48.9406,287.00,30.20,23.00,74.26,200.00,10.00,0.00,29.57,,10.00,15.00,SCT,OVC,,,7000.00,9500.00,,,,,,,,,,20.71,K96D 120155Z AUTO 20010G15KT 10SM SCT070 OVC095 M01/M05 A2957 RMK AO2,
D60,2020-02-12 01:55,-102.8974,48.3803,690.00,28.40,28.40,100.00,290.00,6.00,0.00,29.59,,3.00,,BKN,BKN,,,800.00,1400.00,,,BR,,,,,,,21.19,KD60 120155Z AUTO 29006KT 3SM BR BKN008 BKN014 M02/M02 A2959 RMK AO2,
DIK,2020-02-12 01:56,-102.8019,46.7973,789.00,30.90,21.00,66.34,260.00,12.00,,29.59,1005.20,10.00,,OVC,,,,6500.00,,,,,,,,,,,20.60,KDIK 120156Z AUTO 26012KT 10SM OVC065 M01/M06 A2959 RMK AO2 SNB05E16 SLP052 P0000 T10061061 $,
DVL,2020-02-12 01:56,-98.9083,48.1146,443.00,28.00,23.00,81.25,220.00,11.00,0.00,29.59,1061.00,10.00,,BKN,BKN,,,10000.00,12000.00,,,,,,,,,,17.41,KDVL 120156Z AUTO 22011KT 10SM BKN100 BKN120 M02/M05 A2959 RMK AO2 SLP610 T10221050 FZRANO,
RDR,2020-02-12 01:56,-97.4012,47.9611,278.00,28.20,22.30,78.24,220.00,11.00,0.00,29.63,1005.30,10.00,,OVC,,,,10000.00,,,,,,,,,,,17.66,KRDR 120156Z 22011KT 10SM OVC100 M02/M05 A2963 RMK AO2A SLP053 T10211054,
JMS,2020-02-12 01:56,-98.6800,46.9300,457.00,30.00,23.00,74.87,200.00,10.00,0.00,29.64,1005.90,10.00,,BKN,,,,10000.00,,,,,,,,,,,20.46,KJMS 120156Z AUTO 20010KT 10SM BKN100 M01/M05 A2964 RMK AO2 SLP059 T10111050,
MIB,2020-02-12 01:56,-101.3580,48.4158,508.00,32.00,24.30,72.91,290.00,13.00,0.00,29.57,1004.20,10.00,,FEW,BKN,BKN,,3800.00,5000.00,6000.00,,,,,,,,,21.57,KMIB 120156Z AUTO 29013KT 10SM FEW038 BKN050 BKN060 00/M04 A2957 RMK AO2 SLP042 T00001043 $,
BIS,2020-02-12 02:52,-100.7458,46.7727,506.00,32.00,21.90,65.92,240.00,10.00,0.00,29.64,1006.20,10.00,,BKN,OVC,,,6000.00,7500.00,,,,,,,,,,22.97,KBIS 120252Z 24010KT 10SM BKN060 OVC075 00/M06 A2964 RMK AO2 SLP062 T00001056 56006,
N60,2020-02-12 02:52,-101.4394,47.6458,587.00,28.90,28.00,96.38,270.00,6.00,0.01,29.60,1005.20,,,,,,,,,,,,,,,,,,21.80,KN60 120252Z AUTO 27006KT M02/M02 A2960 RMK AO1 SLP052 P0001 60001 T10171022 53000,
GFK,2020-02-12 02:53,-97.1761,47.9492,257.00,27.00,19.90,74.25,200.00,12.00,0.00,29.63,1004.80,10.00,22.00,FEW,OVC,,,9000.00,11000.00,,,,,,,,,,15.64,KGFK 120253Z 20012G22KT 10SM FEW090 OVC110 M03/M07 A2963 RMK AO2 SLP048 T10281067 57019,
FAR,2020-02-12 02:53,-96.8111,46.9253,274.00,27.00,19.90,74.25,170.00,13.00,0.00,29.70,1007.30,10.00,,BKN,,,,11000.00,,,,,,,,,,,15.16,KFAR 120253Z 17013KT 10SM BKN110 M03/M07 A2970 RMK AO2 SLP073 T10281067 56023,
HEI,2020-02-12 02:53,-102.6560,46.0149,828.00,30.00,19.90,65.66,250.00,8.00,0.00,29.65,1007.50,10.00,,SCT,BKN,,,4100.00,5000.00,,,,,,,,,,21.65,KHEI 120253Z AUTO 25008KT 10SM SCT041 BKN050 M01/M07 A2965 RMK AO2 SLP075 T10111067 56008,
MOT,2020-02-12 02:54,-101.2803,48.2594,523.00,30.90,27.00,85.26,260.00,8.00,,29.59,1004.50,4.00,,OVC,,,,3000.00,,,,-SN BR,,,,,,,22.76,KMOT 120254Z 26008KT 4SM -SN BR OVC030 M01/M03 A2959 RMK AO2 SNB0158 SLP045 P0000 60000 T10061028 51008,
HZE,2020-02-12 02:55,-101.5810,47.2899,552.00,30.20,30.20,100.00,240.00,5.00,0.00,29.64,,3.00,,SCT,BKN,OVC,,300.00,2500.00,3200.00,,-SN,,,,,,,24.26,KHZE 120255Z AUTO 24005KT 3SM -SN SCT003 BKN025 OVC032 M01/M01 A2964 RMK AO2,
S25,2020-02-12 02:55,-103.2552,47.7966,642.00,28.40,28.40,100.00,0.00,0.00,0.00,29.59,,5.00,,SCT,BKN,OVC,,100.00,3300.00,4900.00,,-SN,,,,,,,28.40,KS25 120255Z AUTO 00000KT 5SM -SN SCT001 BKN033 OVC049 M02/M02 A2959 RMK AO2,
5H4,2020-02-12 02:55,-99.9317,47.7912,489.00,30.20,28.40,92.92,270.00,12.00,0.00,29.62,,5.00,19.00,SCT,BKN,OVC,,2500.00,3300.00,9500.00,,-UP,,,,,,,19.71,K5H4 120255Z AUTO 27012G19KT 5SM -UP SCT025 BKN033 OVC095 M01/M02 A2962 RMK AO2,
D60,2020-02-12 02:55,-102.8974,48.3803,690.00,28.40,28.40,100.00,300.00,6.00,0.00,29.60,,3.00,,CLR,,,,,,,,BR,,,,,,,21.19,KD60 120255Z AUTO 30006KT 3SM BR CLR M02/M02 A2960 RMK AO2,
96D,2020-02-12 02:55,-97.9028,48.9406,287.00,30.20,23.00,74.26,240.00,4.00,0.00,29.59,,10.00,12.00,SCT,OVC,,,6500.00,7500.00,,,,,,,,,,25.32,K96D 120255Z AUTO 24004G12KT 10SM SCT065 OVC075 M01/M05 A2959 RMK AO2,
BWP,2020-02-12 02:55,-96.6074,46.2441,294.70,26.60,21.20,79.77,170.00,11.00,0.00,29.75,,10.00,,,,,,,,,,,,,,,,,15.64,KBWP 120255Z AUTO 17011KT 10SM M03/M06 A2975 RMK AO1,
20U,2020-02-12 02:55,-103.9821,46.9252,840.00,32.00,32.00,100.00,260.00,13.00,0.00,29.60,,3.00,,SCT,BKN,OVC,,600.00,1300.00,12000.00,,-SN,,,,,,,21.57,K20U 120255Z AUTO 26013KT 3SM -SN SCT006 BKN013 OVC120 M00/M00 A2960 RMK AO2,
BAC,2020-02-12 02:55,-98.0180,46.9412,427.30,26.60,24.80,92.80,210.00,16.00,0.00,29.66,,10.00,22.00,BKN,BKN,OVC,,7500.00,9000.00,11000.00,,-SN,,,,,,,13.38,KBAC 120255Z AUTO 21016G22KT 10SM -SN BKN075 BKN090 OVC110 M03/M04 A2966 RMK AO2,
